bacteria,gram,phenolics,tannins,coumarins,carotenes,flavonoids,triterpenoids,steroids,noise,alkaloids,anthraquinones,saponins,isolated compounds,terpenoids,lignans,sesquiterpenes,monoterpenes,phenylpropanoids,diterpenes,xanthones,iridoids,phenylethanoids,piperamides,stilbenoids,alkamides,cyanogenic glycosides
Salmonella enterica,negative,44,8,3,3,36,2,3,21,5,2,4,8,3,2,3,4,0,2,0,1,0,0,1,0,0
Bacillus cereus,positive,156,37,10,13,115,6,16,84,24,5,24,28,19,2,13,5,1,4,3,2,4,0,1,0,0
Staphylococcus aureus,positive,765,236,87,51,651,51,91,435,142,49,140,109,102,7,38,14,7,17,2,10,3,0,4,0,2
Enterococcus faecalis,positive,95,18,11,4,79,8,9,69,8,3,13,15,11,1,5,4,2,1,0,3,1,0,1,0,0
Bacillus subtilis,positive,213,83,23,8,200,14,31,141,48,12,54,29,42,4,12,9,2,1,1,2,1,0,0,1,0
Escherichia coli,negative,606,194,71,54,529,36,71,377,114,46,124,76,89,3,24,11,9,6,3,5,0,0,2,1,1
Pseudomonas aeruginosa,negative,331,115,37,21,270,17,42,227,65,23,73,46,55,2,19,11,4,5,4,5,0,0,0,1,0
Serratia marcescens,negative,8,4,2,2,9,2,2,5,2,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Enterococcus faecium,positive,16,5,1,1,12,2,1,3,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Proteus mirabilis,negative,38,22,10,4,37,4,11,31,13,6,16,4,8,0,2,0,0,1,0,0,0,0,0,0,0
Micrococcus luteus,positive,40,16,4,6,43,2,6,24,5,2,8,4,7,0,1,1,0,0,0,1,0,0,0,0,0
Klebsiella pneumoniae,negative,98,45,11,5,94,7,23,75,31,12,38,12,28,0,5,6,0,1,0,1,0,0,0,1,1
Latilactobacillus sakei,positive,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas hydrophila,negative,10,5,0,0,9,2,1,3,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus pyogenes,positive,27,8,3,0,24,2,7,11,4,2,8,2,4,2,2,3,1,0,0,2,0,0,0,0,0
Staphylococcus epidermidis,positive,59,22,8,1,53,7,9,44,9,5,12,7,9,1,4,2,0,2,0,2,1,0,0,0,1
Neisseria gonorrhoeae,negative,1,2,1,0,1,1,1,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Staphylococcus saprophyticus,positive,1,3,0,0,3,0,0,3,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus agalactiae,positive,3,3,2,0,6,0,1,6,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Listeria monocytogenes,positive,98,15,9,12,86,0,0,41,2,2,4,15,4,1,4,2,2,1,0,2,0,0,0,0,0
Klebsiella oxytoca,negative,3,3,0,1,2,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori,negative,11,1,0,0,12,1,0,7,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas gingivalis,negative,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Shigella sonnei,negative,0,0,0,0,2,0,0,3,1,0,0,0,0,1,3,2,0,2,0,0,0,0,0,0,0
Listeria innocua,positive,13,2,2,2,7,0,0,7,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0
Yersinia pseudotuberculosis,negative,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteus vulgaris,negative,26,13,0,0,29,2,8,25,9,1,13,2,10,0,3,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii,negative,13,5,5,1,14,0,2,13,3,1,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0
Yersinia enterocolitica,negative,9,1,0,1,9,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus pneumoniae,positive,12,3,3,0,11,0,1,8,2,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio parahaemolyticus,negative,7,3,1,0,7,0,1,3,2,3,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0
Bacillus pumilus,positive,3,1,0,2,2,0,1,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Shigella flexneri,negative,17,7,1,0,28,2,4,7,6,1,6,0,3,1,1,2,0,2,0,3,0,0,0,0,0
Clostridium perfringens,positive,11,2,2,0,10,1,1,6,0,1,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0
Enterobacter hormaechei,negative,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus casseliflavus,positive,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium ulcerans,positive,0,1,0,0,2,0,2,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Shigella dysenteriae,negative,11,6,1,1,9,0,2,10,3,1,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio cholerae,negative,5,5,2,0,11,0,2,2,3,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Campylobacter jejuni,negative,6,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrobacter freundii,negative,10,2,0,0,5,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shigella boydii,negative,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus uberis,positive,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus licheniformis,positive,4,1,0,0,4,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactiplantibacillus plantarum,positive,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Lacticaseibacillus rhamnosus,positive,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutibacterium acnes,positive,1,1,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacter cloacae,negative,9,4,1,0,9,2,2,7,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0
Staphylococcus hominis,positive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasteurella multocida,positive,2,0,1,1,2,1,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium avium,positive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis,positive,2,0,1,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter lwoffii,negative,2,1,0,0,1,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter haemolyticus,negative,2,1,0,0,1,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus thuringiensis,positive,4,0,2,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Klebsiella aerogenes,negative,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shewanella putrefaciens,negative,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morganella morganii,negative,3,1,0,1,1,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraxella catarrhalis,negative,2,0,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cronobacter sakazakii,negative,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Streptococcus mitis,positive,4,0,1,0,4,0,0,4,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Stenotrophomonas maltophilia,negative,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Haemophilus influenzae,negative,2,2,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium tuberculosis,positive,1,0,1,0,4,1,0,6,2,0,1,2,2,0,0,0,0,4,0,0,0,0,0,0,0
Burkholderia cepacia,negative,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium diphtheriae,positive,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantoea agglomerans,negative,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces israelii,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fusobacterium nucleatum,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Corynebacterium minutissimum,positive,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus haemolyticus,positive,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus acidophilus,positive,3,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactococcus lactis,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus salivarius,positive,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus oralis,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edwardsiella tarda,negative,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus iniae,positive,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus sanguinis,positive,1,1,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordetella bronchiseptica,negative,3,0,0,0,5,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Listeria ivanovii,positive,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium xerosis,positive,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia gladioli,negative,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio vulnificus,negative,2,1,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella bongori,negative,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus atrophaeus,positive,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio alginolyticus,negative,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Providencia stuartii,negative,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus dysgalactiae,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter junii,negative,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bordetella pertussis,negative,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gardnerella vaginalis,negative,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemella haemolysans,positive,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus constellatus,positive,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides fragilis,negative,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
